"filename", "language", "C#", "JSON", "XML", "HTTP", "MSBuild", "HTML", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Projects\IDo\IDo.slnx", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Projects\IDo\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 17, 57
"d:\Projects\IDo\dotnet-tools.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Projects\IDo\src\IDo.Application\Abstractions\DateTime\IDateTimeProvider.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Projects\IDo\src\IDo.Application\Abstractions\Identity\ICurrentUserService.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Projects\IDo\src\IDo.Application\Abstractions\Identity\IIdentityAccountService.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Projects\IDo\src\IDo.Application\Abstractions\Notifications\INotificationPublisher.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\IDo\src\IDo.Application\Abstractions\Persistence\Repositories.cs", "C#", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 104
"d:\Projects\IDo\src\IDo.Application\Abstractions\Realtime\ITaskRealtimeNotifier.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Projects\IDo\src\IDo.Application\Abstractions\Services\ServiceContracts.cs", "C#", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 98
"d:\Projects\IDo\src\IDo.Application\Common\Mappings\DtoMapper.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Projects\IDo\src\IDo.Application\Common\Models\PagedResult.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Projects\IDo\src\IDo.Application\Common\Validation\RequestValidators.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"d:\Projects\IDo\src\IDo.Application\DTOs\Habits\CreateHabitRequest.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Projects\IDo\src\IDo.Application\DTOs\Habits\HabitDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Projects\IDo\src\IDo.Application\DTOs\Habits\HabitLogDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Projects\IDo\src\IDo.Application\DTOs\Habits\UpdateHabitRequest.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
